PokemonName	PokedexLink	Description
Diancie	https://pokemondb.net/pokedex/diancie	Diancie is a Rock/Fairy type Pokémon introduced in Generation 6. It is known as the Jewel Pokémon.
Doduo	https://pokemondb.net/pokedex/doduo	Doduo is a Normal/Flying type Pokémon introduced in Generation 1. It is known as the Twin Bird Pokémon.
Comfey	https://pokemondb.net/pokedex/comfey	Comfey is a Fairy type Pokémon introduced in Generation 7. It is known as the Posy Picker Pokémon.
Machop	https://pokemondb.net/pokedex/machop	Machop is a Fighting type Pokémon introduced in Generation 1. It is known as the Superpower Pokémon.
Ducklett	https://pokemondb.net/pokedex/ducklett	Ducklett is a Water/Flying type Pokémon introduced in Generation 5. It is known as the Water Bird Pokémon.
Lileep	https://pokemondb.net/pokedex/lileep	Lileep is a Rock/Grass type Pokémon introduced in Generation 3. It is known as the Sea Lily Pokémon.
Infernape	https://pokemondb.net/pokedex/infernape	Infernape is a Fire/Fighting type Pokémon introduced in Generation 4. It is known as the Flame Pokémon.
Rowlet	https://pokemondb.net/pokedex/rowlet	Rowlet is a Grass/Flying type Pokémon introduced in Generation 7. It is known as the Grass Quill Pokémon.
Cramorant	https://pokemondb.net/pokedex/cramorant	Cramorant is a Flying/Water type Pokémon introduced in Generation 8. It is known as the Gulp Pokémon.
Charmeleon	https://pokemondb.net/pokedex/charmeleon	Charmeleon is a Fire type Pokémon introduced in Generation 1. It is known as the Flame Pokémon.
Murkrow	https://pokemondb.net/pokedex/murkrow	Murkrow is a Dark/Flying type Pokémon introduced in Generation 2. It is known as the Darkness Pokémon.
Simisage	https://pokemondb.net/pokedex/simisage	Simisage is a Grass type Pokémon introduced in Generation 5. It is known as the Thorn Monkey Pokémon.
Salazzle	https://pokemondb.net/pokedex/salazzle	Salazzle is a Poison/Fire type Pokémon introduced in Generation 7. It is known as the Toxic Lizard Pokémon.
Rayquaza	https://pokemondb.net/pokedex/rayquaza	Rayquaza is a Dragon/Flying type Pokémon introduced in Generation 3. It is known as the Sky High Pokémon.
Mantyke	https://pokemondb.net/pokedex/mantyke	Mantyke is a Water/Flying type Pokémon introduced in Generation 4. It is known as the Kite Pokémon.
Mewtwo	https://pokemondb.net/pokedex/mewtwo	Mewtwo is a Psychic type Pokémon introduced in Generation 1. It is known as the Genetic Pokémon.
Beedrill	https://pokemondb.net/pokedex/beedrill	Beedrill is a Bug/Poison type Pokémon introduced in Generation 1. It is known as the Poison Bee Pokémon.
Carbink	https://pokemondb.net/pokedex/carbink	Carbink is a Rock/Fairy type Pokémon introduced in Generation 6. It is known as the Jewel Pokémon.
Larvitar	https://pokemondb.net/pokedex/larvitar	Larvitar is a Rock/Ground type Pokémon introduced in Generation 2. It is known as the Rock Skin Pokémon.
Drizzile	https://pokemondb.net/pokedex/drizzile	Drizzile is a Water type Pokémon introduced in Generation 8. It is known as the Water lizard Pokémon.
Duraludon	https://pokemondb.net/pokedex/duraludon	Duraludon is a Steel/Dragon type Pokémon introduced in Generation 8. It is known as the Alloy Pokémon.
Musharna	https://pokemondb.net/pokedex/musharna	Musharna is a Psychic type Pokémon introduced in Generation 5. It is known as the Drowsing Pokémon.
Braviary	https://pokemondb.net/pokedex/braviary	Braviary is a Normal/Flying type Pokémon introduced in Generation 5. It is known as the Valiant Pokémon.
Fraxure	https://pokemondb.net/pokedex/fraxure	Fraxure is a Dragon type Pokémon introduced in Generation 5. It is known as the Axe Jaw Pokémon.
Tangrowth	https://pokemondb.net/pokedex/tangrowth	Tangrowth is a Grass type Pokémon introduced in Generation 4. It is known as the Vine Pokémon.
Dracovish	https://pokemondb.net/pokedex/dracovish	Dracovish is a Water/Dragon type Pokémon introduced in Generation 8. It is known as the Fossil Pokémon.
Accelgor	https://pokemondb.net/pokedex/accelgor	Accelgor is a Bug type Pokémon introduced in Generation 5. It is known as the Shell Out Pokémon.
Gothita	https://pokemondb.net/pokedex/gothita	Gothita is a Psychic type Pokémon introduced in Generation 5. It is known as the Fixation Pokémon.
Corphish	https://pokemondb.net/pokedex/corphish	Corphish is a Water type Pokémon introduced in Generation 3. It is known as the Ruffian Pokémon.
Magby	https://pokemondb.net/pokedex/magby	Magby is a Fire type Pokémon introduced in Generation 2. It is known as the Live Coal Pokémon.
Trevenant	https://pokemondb.net/pokedex/trevenant	Trevenant is a Ghost/Grass type Pokémon introduced in Generation 6. It is known as the Elder Tree Pokémon.
Sentret	https://pokemondb.net/pokedex/sentret	Sentret is a Normal type Pokémon introduced in Generation 2. It is known as the Scout Pokémon.
Nidoking	https://pokemondb.net/pokedex/nidoking	Nidoking is a Poison/Ground type Pokémon introduced in Generation 1. It is known as the Drill Pokémon.
Phantump	https://pokemondb.net/pokedex/phantump	Phantump is a Ghost/Grass type Pokémon introduced in Generation 6. It is known as the Stump Pokémon.
Sandshrew	https://pokemondb.net/pokedex/sandshrew	Sandshrew is a Ground type Pokémon introduced in Generation 1. It is known as the Mouse Pokémon.
Loudred	https://pokemondb.net/pokedex/loudred	Loudred is a Normal type Pokémon introduced in Generation 3. It is known as the Big Voice Pokémon.
Totodile	https://pokemondb.net/pokedex/totodile	Totodile is a Water type Pokémon introduced in Generation 2. It is known as the Big Jaw Pokémon.
Vullaby	https://pokemondb.net/pokedex/vullaby	Vullaby is a Dark/Flying type Pokémon introduced in Generation 5. It is known as the Diapered Pokémon.
Dwebble	https://pokemondb.net/pokedex/dwebble	Dwebble is a Bug/Rock type Pokémon introduced in Generation 5. It is known as the Rock Inn Pokémon.
Whirlipede	https://pokemondb.net/pokedex/whirlipede	Whirlipede is a Bug/Poison type Pokémon introduced in Generation 5. It is known as the Curlipede Pokémon.
Tyrogue	https://pokemondb.net/pokedex/tyrogue	Tyrogue is a Fighting type Pokémon introduced in Generation 2. It is known as the Scuffle Pokémon.
Samurott	https://pokemondb.net/pokedex/samurott	Samurott is a Water type Pokémon introduced in Generation 5. It is known as the Formidable Pokémon.
Spinarak	https://pokemondb.net/pokedex/spinarak	Spinarak is a Bug/Poison type Pokémon introduced in Generation 2. It is known as the String Spit Pokémon.
Bayleef	https://pokemondb.net/pokedex/bayleef	Bayleef is a Grass type Pokémon introduced in Generation 2. It is known as the Leaf Pokémon.
Gorebyss	https://pokemondb.net/pokedex/gorebyss	Gorebyss is a Water type Pokémon introduced in Generation 3. It is known as the South Sea Pokémon.
Bouffalant	https://pokemondb.net/pokedex/bouffalant	Bouffalant is a Normal type Pokémon introduced in Generation 5. It is known as the Bash Buffalo Pokémon.
Genesect	https://pokemondb.net/pokedex/genesect	Genesect is a Bug/Steel type Pokémon introduced in Generation 5. It is known as the Paleozoic Pokémon.
Sceptile	https://pokemondb.net/pokedex/sceptile	Sceptile is a Grass type Pokémon introduced in Generation 3. It is known as the Forest Pokémon.
Karrablast	https://pokemondb.net/pokedex/karrablast	Karrablast is a Bug type Pokémon introduced in Generation 5. It is known as the Clamping Pokémon.
Skwovet	https://pokemondb.net/pokedex/skwovet	Skwovet is a Normal type Pokémon introduced in Generation 8. It is known as the Cheeky Pokémon.
Sneasel	https://pokemondb.net/pokedex/sneasel	Sneasel is a Dark/Ice type Pokémon introduced in Generation 2. It is known as the Sharp Claw Pokémon.
Spectrier	https://pokemondb.net/pokedex/spectrier	Spectrier is a Ghost type Pokémon introduced in Generation 8. It is known as the Swift Horse Pokémon.
Dreepy	https://pokemondb.net/pokedex/dreepy	Dreepy is a Dragon/Ghost type Pokémon introduced in Generation 8. It is known as the Lingering Pokémon.
Oshawott	https://pokemondb.net/pokedex/oshawott	Oshawott is a Water type Pokémon introduced in Generation 5. It is known as the Sea Otter Pokémon.
Gothitelle	https://pokemondb.net/pokedex/gothitelle	Gothitelle is a Psychic type Pokémon introduced in Generation 5. It is known as the Astral Body Pokémon.
Darumaka	https://pokemondb.net/pokedex/darumaka	Darumaka is a Fire type Pokémon introduced in Generation 5. It is known as the Zen Charm Pokémon.
Zigzagoon	https://pokemondb.net/pokedex/zigzagoon	Zigzagoon is a Normal type Pokémon introduced in Generation 3. It is known as the TinyRaccoon Pokémon.
Chandelure	https://pokemondb.net/pokedex/chandelure	Chandelure is a Ghost/Fire type Pokémon introduced in Generation 5. It is known as the Luring Pokémon.
Magnemite	https://pokemondb.net/pokedex/magnemite	Magnemite is an Electric/Steel type Pokémon introduced in Generation 1. It is known as the Magnet Pokémon.
Pidgey	https://pokemondb.net/pokedex/pidgey	Pidgey is a Normal/Flying type Pokémon introduced in Generation 1. It is known as the Tiny Bird Pokémon.
Krookodile	https://pokemondb.net/pokedex/krookodile	Krookodile is a Ground/Dark type Pokémon introduced in Generation 5. It is known as the Intimidation Pokémon.
Cyndaquil	https://pokemondb.net/pokedex/cyndaquil	Cyndaquil is a Fire type Pokémon introduced in Generation 2. It is known as the Fire Mouse Pokémon.
Drilbur	https://pokemondb.net/pokedex/drilbur	Drilbur is a Ground type Pokémon introduced in Generation 5. It is known as the Mole Pokémon.
Roselia	https://pokemondb.net/pokedex/roselia	Roselia is a Grass/Poison type Pokémon introduced in Generation 3. It is known as the Thorn Pokémon.
Pachirisu	https://pokemondb.net/pokedex/pachirisu	Pachirisu is an Electric type Pokémon introduced in Generation 4. It is known as the EleSquirrel Pokémon.
Smoochum	https://pokemondb.net/pokedex/smoochum	Smoochum is an Ice/Psychic type Pokémon introduced in Generation 2. It is known as the Kiss Pokémon.
Koffing	https://pokemondb.net/pokedex/koffing	Koffing is a Poison type Pokémon introduced in Generation 1. It is known as the Poison Gas Pokémon.
Cosmog	https://pokemondb.net/pokedex/cosmog	Cosmog is a Psychic type Pokémon introduced in Generation 7. It is known as the Nebula Pokémon.
Bewear	https://pokemondb.net/pokedex/bewear	Bewear is a Normal/Fighting type Pokémon introduced in Generation 7. It is known as the Strong Arm Pokémon.
Gengar	https://pokemondb.net/pokedex/gengar	Gengar is a Ghost/Poison type Pokémon introduced in Generation 1. It is known as the Shadow Pokémon.
Bellsprout	https://pokemondb.net/pokedex/bellsprout	Bellsprout is a Grass/Poison type Pokémon introduced in Generation 1. It is known as the Flower Pokémon.
Lucario	https://pokemondb.net/pokedex/lucario	Lucario is a Fighting/Steel type Pokémon introduced in Generation 4. It is known as the Aura Pokémon.
Geodude	https://pokemondb.net/pokedex/geodude	Geodude is a Rock/Ground type Pokémon introduced in Generation 1. It is known as the Rock Pokémon.
Chansey	https://pokemondb.net/pokedex/chansey	Chansey is a Normal type Pokémon introduced in Generation 1. It is known as the Egg Pokémon.
Beldum	https://pokemondb.net/pokedex/beldum	Beldum is a Steel/Psychic type Pokémon introduced in Generation 3. It is known as the Iron Ball Pokémon.
Oricorio	https://pokemondb.net/pokedex/oricorio	Oricorio is a Fire/Flying type Pokémon introduced in Generation 7. It is known as the Dancing Pokémon.
Impidimp	https://pokemondb.net/pokedex/impidimp	Impidimp is a Dark/Fairy type Pokémon introduced in Generation 8. It is known as the Wily Pokémon.
Banette	https://pokemondb.net/pokedex/banette	Banette is a Ghost type Pokémon introduced in Generation 3. It is known as the Marionette Pokémon.
Silicobra	https://pokemondb.net/pokedex/silicobra	Silicobra is a Ground type Pokémon introduced in Generation 8. It is known as the Sand Snake Pokémon.
Meditite	https://pokemondb.net/pokedex/meditite	Meditite is a Fighting/Psychic type Pokémon introduced in Generation 3. It is known as the Meditate Pokémon.
Boltund	https://pokemondb.net/pokedex/boltund	Boltund is an Electric type Pokémon introduced in Generation 8. It is known as the Dog Pokémon.
Clefable	https://pokemondb.net/pokedex/clefable	Clefable is a Fairy type Pokémon introduced in Generation 1. It is known as the Fairy Pokémon.
Raboot	https://pokemondb.net/pokedex/raboot	Raboot is a Fire type Pokémon introduced in Generation 8. It is known as the Rabbit Pokémon.
Pupitar	https://pokemondb.net/pokedex/pupitar	Pupitar is a Rock/Ground type Pokémon introduced in Generation 2. It is known as the Hard Shell Pokémon.
Emboar	https://pokemondb.net/pokedex/emboar	Emboar is a Fire/Fighting type Pokémon introduced in Generation 5. It is known as the Mega Fire Pig Pokémon.
Cherrim	https://pokemondb.net/pokedex/cherrim	Cherrim is a Grass type Pokémon introduced in Generation 4. It is known as the Blossom Pokémon.
Rhydon	https://pokemondb.net/pokedex/rhydon	Rhydon is a Ground/Rock type Pokémon introduced in Generation 1. It is known as the Drill Pokémon.
Chimecho	https://pokemondb.net/pokedex/chimecho	Chimecho is a Psychic type Pokémon introduced in Generation 3. It is known as the Wind Chime Pokémon.
Vanillite	https://pokemondb.net/pokedex/vanillite	Vanillite is an Ice type Pokémon introduced in Generation 5. It is known as the Fresh Snow Pokémon.
Klefki	https://pokemondb.net/pokedex/klefki	Klefki is a Steel/Fairy type Pokémon introduced in Generation 6. It is known as the Key Ring Pokémon.
Melmetal	https://pokemondb.net/pokedex/melmetal	Melmetal is a Steel type Pokémon introduced in Generation 7. It is known as the Hex Nut Pokémon.
Suicune	https://pokemondb.net/pokedex/suicune	Suicune is a Water type Pokémon introduced in Generation 2. It is known as the Aurora Pokémon.
Scolipede	https://pokemondb.net/pokedex/scolipede	Scolipede is a Bug/Poison type Pokémon introduced in Generation 5. It is known as the Megapede Pokémon.
Yamask	https://pokemondb.net/pokedex/yamask	Yamask is a Ghost type Pokémon introduced in Generation 5. It is known as the Spirit Pokémon.
Kommo-o	https://pokemondb.net/pokedex/kommo-o	Kommo-o is a Dragon/Fighting type Pokémon introduced in Generation 7. It is known as the Scaly Pokémon.
Thievul	https://pokemondb.net/pokedex/thievul	Thievul is a Dark type Pokémon introduced in Generation 8. It is known as the Fox Pokémon.
Budew	https://pokemondb.net/pokedex/budew	Budew is a Grass/Poison type Pokémon introduced in Generation 4. It is known as the Bud Pokémon.
Abomasnow	https://pokemondb.net/pokedex/abomasnow	Abomasnow is a Grass/Ice type Pokémon introduced in Generation 4. It is known as the Frost Tree Pokémon.
Abra	https://pokemondb.net/pokedex/abra	Abra is a Psychic type Pokémon introduced in Generation 1. It is known as the Psi Pokémon.
Dragonite	https://pokemondb.net/pokedex/dragonite	Dragonite is a Dragon/Flying type Pokémon introduced in Generation 1. It is known as the Dragon Pokémon.
Nidorina	https://pokemondb.net/pokedex/nidorina	Nidorina is a Poison type Pokémon introduced in Generation 1. It is known as the Poison Pin Pokémon.
Floatzel	https://pokemondb.net/pokedex/floatzel	Floatzel is a Water type Pokémon introduced in Generation 4. It is known as the Sea Weasel Pokémon.
Palkia	https://pokemondb.net/pokedex/palkia	Palkia is a Water/Dragon type Pokémon introduced in Generation 4. It is known as the Spatial Pokémon.
Pansage	https://pokemondb.net/pokedex/pansage	Pansage is a Grass type Pokémon introduced in Generation 5. It is known as the Grass Monkey Pokémon.
Gyarados	https://pokemondb.net/pokedex/gyarados	Gyarados is a Water/Flying type Pokémon introduced in Generation 1. It is known as the Atrocious Pokémon.
Mankey	https://pokemondb.net/pokedex/mankey	Mankey is a Fighting type Pokémon introduced in Generation 1. It is known as the Pig Monkey Pokémon.
Shiinotic	https://pokemondb.net/pokedex/shiinotic	Shiinotic is a Grass/Fairy type Pokémon introduced in Generation 7. It is known as the Illuminating Pokémon.
Togedemaru	https://pokemondb.net/pokedex/togedemaru	Togedemaru is an Electric/Steel type Pokémon introduced in Generation 7. It is known as the Roly-Poly Pokémon.
Lurantis	https://pokemondb.net/pokedex/lurantis	Lurantis is a Grass type Pokémon introduced in Generation 7. It is known as the Bloom Sickle Pokémon.
Flaaffy	https://pokemondb.net/pokedex/flaaffy	Flaaffy is an Electric type Pokémon introduced in Generation 2. It is known as the Wool Pokémon.
Porygon2	https://pokemondb.net/pokedex/porygon2	Porygon2 is a Normal type Pokémon introduced in Generation 2. It is known as the Virtual Pokémon.
Scyther	https://pokemondb.net/pokedex/scyther	Scyther is a Bug/Flying type Pokémon introduced in Generation 1. It is known as the Mantis Pokémon.
Goomy	https://pokemondb.net/pokedex/goomy	Goomy is a Dragon type Pokémon introduced in Generation 6. It is known as the Soft Tissue Pokémon.
Slurpuff	https://pokemondb.net/pokedex/slurpuff	Slurpuff is a Fairy type Pokémon introduced in Generation 6. It is known as the Meringue Pokémon.
Virizion	https://pokemondb.net/pokedex/virizion	Virizion is a Grass/Fighting type Pokémon introduced in Generation 5. It is known as the Grassland Pokémon.
Exploud	https://pokemondb.net/pokedex/exploud	Exploud is a Normal type Pokémon introduced in Generation 3. It is known as the Loud Noise Pokémon.
Seadra	https://pokemondb.net/pokedex/seadra	Seadra is a Water type Pokémon introduced in Generation 1. It is known as the Dragon Pokémon.
Larvesta	https://pokemondb.net/pokedex/larvesta	Larvesta is a Bug/Fire type Pokémon introduced in Generation 5. It is known as the Torch Pokémon.
Fearow	https://pokemondb.net/pokedex/fearow	Fearow is a Normal/Flying type Pokémon introduced in Generation 1. It is known as the Beak Pokémon.
Ribombee	https://pokemondb.net/pokedex/ribombee	Ribombee is a Bug/Fairy type Pokémon introduced in Generation 7. It is known as the Bee Fly Pokémon.
Feebas	https://pokemondb.net/pokedex/feebas	Feebas is a Water type Pokémon introduced in Generation 3. It is known as the Fish Pokémon.
Carracosta	https://pokemondb.net/pokedex/carracosta	Carracosta is a Water/Rock type Pokémon introduced in Generation 5. It is known as the Prototurtle Pokémon.
Brionne	https://pokemondb.net/pokedex/brionne	Brionne is a Water type Pokémon introduced in Generation 7. It is known as the Pop Star Pokémon.
Conkeldurr	https://pokemondb.net/pokedex/conkeldurr	Conkeldurr is a Fighting type Pokémon introduced in Generation 5. It is known as the Muscular Pokémon.
Shelmet	https://pokemondb.net/pokedex/shelmet	Shelmet is a Bug type Pokémon introduced in Generation 5. It is known as the Snail Pokémon.
Kingdra	https://pokemondb.net/pokedex/kingdra	Kingdra is a Water/Dragon type Pokémon introduced in Generation 2. It is known as the Dragon Pokémon.
Woobat	https://pokemondb.net/pokedex/woobat	Woobat is a Psychic/Flying type Pokémon introduced in Generation 5. It is known as the Bat Pokémon.
Bibarel	https://pokemondb.net/pokedex/bibarel	Bibarel is a Normal/Water type Pokémon introduced in Generation 4. It is known as the Beaver Pokémon.
Wigglytuff	https://pokemondb.net/pokedex/wigglytuff	Wigglytuff is a Normal/Fairy type Pokémon introduced in Generation 1. It is known as the Balloon Pokémon.
Milotic	https://pokemondb.net/pokedex/milotic	Milotic is a Water type Pokémon introduced in Generation 3. It is known as the Tender Pokémon.
Wurmple	https://pokemondb.net/pokedex/wurmple	Wurmple is a Bug type Pokémon introduced in Generation 3. It is known as the Worm Pokémon.
Alakazam	https://pokemondb.net/pokedex/alakazam	Alakazam is a Psychic type Pokémon introduced in Generation 1. It is known as the Psi Pokémon.
Mightyena	https://pokemondb.net/pokedex/mightyena	Mightyena is a Dark type Pokémon introduced in Generation 3. It is known as the Bite Pokémon.
Nickit	https://pokemondb.net/pokedex/nickit	Nickit is a Dark type Pokémon introduced in Generation 8. It is known as the Fox Pokémon.
Tauros	https://pokemondb.net/pokedex/tauros	Tauros is a Normal type Pokémon introduced in Generation 1. It is known as the Wild Bull Pokémon.
Minior	https://pokemondb.net/pokedex/minior	Minior is a Rock/Flying type Pokémon introduced in Generation 7. It is known as the Meteor Pokémon.
Gourgeist	https://pokemondb.net/pokedex/gourgeist	Gourgeist is a Ghost/Grass type Pokémon introduced in Generation 6. It is known as the Pumpkin Pokémon.
Numel	https://pokemondb.net/pokedex/numel	Numel is a Fire/Ground type Pokémon introduced in Generation 3. It is known as the Numb Pokémon.
Masquerain	https://pokemondb.net/pokedex/masquerain	Masquerain is a Bug/Flying type Pokémon introduced in Generation 3. It is known as the Eyeball Pokémon.
Shroomish	https://pokemondb.net/pokedex/shroomish	Shroomish is a Grass type Pokémon introduced in Generation 3. It is known as the Mushroom Pokémon.
Indeedee	https://pokemondb.net/pokedex/indeedee	Indeedee is a Psychic/Normal type Pokémon introduced in Generation 8. It is known as the Emotion Pokémon.
Torracat	https://pokemondb.net/pokedex/torracat	Torracat is a Fire type Pokémon introduced in Generation 7. It is known as the Fire Cat Pokémon.
Seaking	https://pokemondb.net/pokedex/seaking	Seaking is a Water type Pokémon introduced in Generation 1. It is known as the Goldfish Pokémon.
